symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
AJANTPHARM,3469.0,1.45,3419.6,3481.0,3337.41,3202.03,3073.02,2940.21,97.59
MANAPPURAM,337.1,3.58,324.15,339.6,327.59,318.21,307.68,297.26,94.2
SUNPHARMA,1956.4,1.23,1935.0,1958.8,1906.94,1861.63,1819.74,1776.38,90.1
TORNTPHARM,5005.4,5.09,4735.1,5030.0,4798.63,4613.67,4434.44,4204.15,85.03
ATHERENERG,1296.7,1.13,1272.6,1333.9,1172.47,1065.75,958.44,821.12,84.5
ASHAPURMIN,688.45,-0.17,680.1,694.9,676.59,666.92,653.91,642.0,83.25
BIOCON,436.5,-0.16,435.45,442.6,423.38,414.23,403.11,393.98,76.56
CEMPRO,1627.0,0.74,1595.0,1640.0,1467.29,1249.78,1057.72,922.37,76.52
FEDERALBNK,350.75,0.5,341.5,352.2,329.63,316.2,301.1,279.74,75.66
IPCALAB,1838.6,-3.26,1821.5,1928.3,1771.3,1678.92,1607.99,1542.87,75.05
ADANIENSOL,1729.5,0.4,1704.5,1739.4,1622.15,1516.43,1378.62,1219.17,75.02
TITAN,4643.4,0.11,4625.3,4660.0,4506.78,4383.07,4282.46,4115.93,73.72
OFSS,11620.0,-1.28,11544.0,11979.0,11134.01,10324.88,9514.73,8937.72,72.47
RADICO,4132.4,0.84,4088.0,4193.0,3978.65,3739.67,3492.23,3265.07,70.91
CUB,224.98,0.16,221.8,227.49,217.05,207.32,201.93,194.91,70.65
SOLARINDS,19028.0,3.04,18500.0,19125.0,18232.96,17628.14,16597.34,15595.31,70.48
INDUSINDBK,1032.85,0.55,1017.15,1034.65,986.26,948.39,919.03,890.69,68.91
SAILIFE,1297.0,1.97,1270.0,1299.9,1247.08,1192.89,1120.0,1032.93,68.12
AARTIIND,495.4,0.29,489.35,502.6,482.81,473.62,459.0,441.26,67.85
PNBHOUSING,1098.4,-0.13,1088.2,1107.1,1076.81,1040.63,997.84,969.23,66.86
SONACOMS,714.55,1.38,701.15,718.65,660.8,626.95,591.89,553.25,66.7
MARICO,855.3,1.34,837.2,857.1,840.89,826.22,806.32,781.07,63.91
NYKAA,323.5,0.14,322.4,329.6,314.34,296.08,281.21,266.14,63.9
USHAMART,508.4,2.72,492.85,510.4,497.87,486.47,469.79,449.85,63.81
AEGISLOG,1383.9,2.58,1339.4,1434.5,1233.93,1054.1,916.98,830.06,62.78
LLOYDSME,1907.9,2.28,1855.8,1914.8,1807.44,1749.55,1644.66,1538.74,62.72
IKS,1901.9,0.25,1855.0,1915.6,1829.6,1738.74,1668.29,1624.96,62.58
CHENNPETRO,1214.0,1.12,1195.0,1226.0,1154.34,1119.47,1065.91,989.45,62.12
CAPLIPOINT,2649.2,1.34,2601.1,2684.2,2557.17,2348.57,2156.74,2050.07,60.73
NH,2025.9,-0.18,2010.0,2047.5,1990.82,1935.03,1887.78,1863.31,60.2
APOLLOHOSP,8905.0,0.9,8771.5,9000.0,8754.08,8483.55,8171.63,7873.62,58.53
EMCURE,1861.2,4.37,1776.5,1870.8,1808.72,1763.01,1689.19,1594.27,57.76
ANANDRATHI,2082.7,0.48,2060.0,2104.9,2024.98,1915.64,1806.59,1680.74,57.44
CGCL,250.02,-2.48,248.52,258.7,240.62,221.08,205.87,195.45,56.79
NAVINFLUOR,7861.5,3.73,7475.0,7900.0,7578.7,7324.73,6961.98,6459.12,56.57
LUPIN,2478.5,1.44,2424.0,2494.8,2439.52,2377.38,2319.96,2231.15,56.39
ACUTAAS,3656.2,1.02,3601.7,3671.7,3465.61,3217.01,2873.55,2432.66,55.86
PTCIL,18030.0,0.5,17800.0,18078.0,17632.58,17464.16,17280.62,16929.49,55.55
AMBER,7859.0,0.7,7670.0,7879.5,7724.18,7668.61,7554.64,7454.97,55.01
PHOENIXLTD,2074.0,-0.09,2052.1,2092.8,2031.75,1921.7,1839.35,1760.23,53.87
ASTERDM,815.15,-0.58,810.35,821.95,798.96,772.3,735.73,694.47,53.68
